sector_center_rad,sector_center_deg,heliostat_count,count_share,baseline_sector_count,baseline_sector_share,layout_id,label,delta_sector_count,delta_sector_share_pctpt
1.4835298641951802,85.0,341,0.02861938732689887,317,0.026605119597146454,deform_0893,L_nom,24,0.20142677297524147
1.658062789394613,95.0,324,0.027192614351657575,328,0.027528325639949645,deform_0893,L_nom,-4,-0.03357112882920697
1.8325957145940457,104.99999999999999,325,0.027276542173730593,303,0.02543013008812421,deform_0893,L_nom,22,0.18464120856063818
2.007128639793479,115.0,304,0.02551405791019723,305,0.025597985732270248,deform_0893,L_nom,-1,-0.00839278220730183
2.181661564992912,125.00000000000001,303,0.02543013008812421,289,0.024255140579101973,deform_0893,L_nom,14,0.11749895090222388
2.356194490192345,135.0,276,0.02316407889215275,291,0.024422996223248006,deform_0893,L_nom,-15,-0.12589173310952573
2.5307274153917776,145.0,285,0.023919429290809903,285,0.023919429290809903,deform_0893,L_nom,0,0.0
2.7052603405912103,154.99999999999997,274,0.022996223248006716,283,0.02375157364666387,deform_0893,L_nom,-9,-0.07553503986571543
2.8797932657906435,165.0,276,0.02316407889215275,278,0.023331934536298782,deform_0893,L_nom,-2,-0.016785564414603313
3.0543261909900767,175.0,252,0.021149811162400337,242,0.020310532941670165,deform_0893,L_nom,10,0.08392782207301726
-3.0543261909900767,-175.0,246,0.02064624422996223,279,0.0234158623583718,deform_1387,L_rob,-33,-0.2769618128409569
-2.879793265790644,-165.00000000000003,261,0.02190516156105749,282,0.02366764582459085,deform_1387,L_rob,-21,-0.17624842635333599
-2.705260340591211,-155.0,271,0.022744439781787664,284,0.023835501468736885,deform_1387,L_rob,-13,-0.10910616869492205
-2.5307274153917776,-145.0,274,0.022996223248006716,287,0.02408728493495594,deform_1387,L_rob,-13,-0.1091061686949224
-2.356194490192345,-135.0,284,0.023835501468736885,294,0.024674779689467057,deform_1387,L_rob,-10,-0.08392782207301726
-2.181661564992912,-125.00000000000001,300,0.02517834662190516,293,0.024590851867394042,deform_1387,L_rob,7,0.05874947545111177
-2.0071286397934793,-115.00000000000003,318,0.026689047419219472,309,0.025933697020562318,deform_1387,L_rob,9,0.07553503986571543
-1.8325957145940461,-105.00000000000001,339,0.028451531682752832,305,0.025597985732270248,deform_1387,L_rob,34,0.2853545950482584
-1.658062789394613,-95.0,341,0.02861938732689887,330,0.027696181284095678,deform_1387,L_rob,11,0.09232060428031909
-1.4835298641951802,-85.0,363,0.030465799412505247,323,0.027108686529584557,deform_1387,L_rob,40,0.33571128829206903
-1.308996938995747,-74.99999999999999,363,0.030465799412505247,349,0.029290809903483005,deform_1387,L_rob,14,0.11749895090222423
-1.1344640137963142,-65.0,376,0.03155686109945447,352,0.029542593369702056,deform_1387,L_rob,24,0.20142677297524147
