layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id,baseline_peak_to_active_mean,baseline_active_flux_cv,baseline_receiver_intercept_per_requested_ray,baseline_total_receiver_power_proxy_w,delta_peak_to_active_mean_pct_vs_baseline_same_strategy,delta_active_cv_pct_vs_baseline_same_strategy,delta_receiver_intercept_pctpt_vs_baseline_same_strategy,matrix
deform_1387,visible_equator,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116458,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.182865858078003,42868.0,0.7144666666666667,2664820.596058715,828932.7935123842,3.2147607344224376,0.3171073855772123,8787348408.603462,d20_h10,3.4992403964407144,0.3085173204005228,0.7132833333333334,8761912740.15614,-8.12975474070424,2.7843056479090693,0.1183333333333314,V8
deform_1387,five_point,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116444,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.87268853187561,38332.0,0.6388666666666667,2046557.3756078773,764083.3419732908,2.6784478383241823,0.2697696066745209,7844863732.180117,d20_h10,2.414252368529452,0.2673319471238524,0.6457166666666667,7908245866.764011,10.943158769919922,0.9118474529118462,-0.6850000000000023,V8
deform_1387,staggered_levels:9:0.380:0,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116556,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.2925865650177,39244.0,0.6540666666666667,2452734.3171279877,764928.4623950734,3.206488498869831,0.2765285815455068,8021258795.114227,d20_h10,2.9171638564634668,0.280159898661572,0.6600666666666667,8067846982.446531,9.918011350830271,-1.296158776974625,-0.6000000000000005,V8
deform_1387,staggered_levels:9:0.380:1,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116574,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.612879514694214,39329.0,0.6554833333333333,2232615.6378535363,761814.0532650921,2.93065693430657,0.2709263136097463,7982412765.558339,d20_h10,2.931932287732705,0.2765785673385931,0.6533833333333333,8030854077.84881,-0.0434987339738957,-2.04363403254136,0.209999999999999,V8
deform_1387,staggered_levels:9:0.380:2,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116495,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.351224184036255,39260.0,0.6543333333333333,2038849.884988484,764931.1615798534,2.6654030942830698,0.2729734175897103,8004524648.464788,d20_h10,2.661966209924172,0.275746062678493,0.6534,7992216395.976637,0.1291107432575482,-1.005506683159968,0.0933333333333341,V8
deform_1387,staggered_levels:9:0.380:3,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116587,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.370612382888794,39281.0,0.6546833333333333,2031773.4718837796,760121.5144146143,2.672958774819696,0.2744085748199613,7981009374.906672,d20_h10,2.657991739574544,0.2719383826652083,0.6540166666666667,8081005150.232348,0.5630956267587125,0.9083646561927596,0.0666666666666593,V8
deform_1387,staggered_levels:9:0.380:4,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116572,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.14189338684082,39153.0,0.65255,2451165.473553718,767237.2232601254,3.1947947769508453,0.2724365681033193,7997540148.837393,d20_h10,2.9328398384925984,0.2741737806051311,0.6527166666666666,8026424313.870571,8.931784648454748,-0.633617298480397,-0.0166666666666648,V8
deform_1387,staggered_levels:9:0.380:5,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116583,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,7.164092302322388,39360.0,0.656,2662067.96040119,772195.1364227901,3.4474031690140845,0.2803522710537459,8059922686.260834,d20_h10,2.6690724405239243,0.2754657649473701,0.65275,7981166543.792139,29.16109419410805,1.7739068618234342,0.3249999999999975,V8
deform_1387,staggered_levels:9:0.380:6,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116527,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,6.379357099533081,39221.0,0.6536833333333333,2239408.091770988,769169.9021068455,2.9114608952287258,0.2770600240285928,7984711342.486356,d20_h10,2.946175385572691,0.2743228171697829,0.6523833333333333,7989306709.428369,-1.178290013349533,0.9978050265923748,0.1299999999999967,V8
deform_1387,staggered_levels:9:0.380:7,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,a6b429580a3bdc47202900652e3b5a916ab2fca660547fdd5af9522caf3f7706,11915,6000,60000,116509,20,10.0,0.4688176331969026,-0.788684455783609,0.3977271124891626,5.675760269165039,39223.0,0.6537166666666666,1830830.5970946448,761999.040059563,2.402667852378836,0.2669663384136312,7978963167.760361,d20_h10,2.6434220299733475,0.2835680363810979,0.6576166666666666,7994827573.239295,-9.107670847281955,-5.8545730962269085,-0.3900000000000014,V8
