layout_id,strategy,cases,median_delta_peak_pct,mean_delta_peak_pct,p10_delta_peak_pct,p90_delta_peak_pct,share_lower_peak,median_delta_cv_pct,median_delta_intercept_pctpt,matrix
deform_1387,staggered_levels:9:0.380:2,27,0.2004871179023064,2.282358475736094,-7.1953442405073345,11.26949769990526,0.4814814814814814,0.2887274199256905,0.0544444444444458,V9
deform_0276,staggered_levels:9:0.380:2,27,-0.495292711558676,3.9515954041230223,-7.766542895624442,17.609897567546508,0.5925925925925926,1.3994698419614688,1.2016666666666675,V9
deform_1387,staggered_levels:9:0.380:1,27,-0.4015038463040487,-2.6933967591929275,-15.530900498667132,7.2122556094699055,0.6296296296296297,0.0138846719859205,-0.0061111111111067,V10
deform_1822,staggered_levels:9:0.380:0,27,-0.5612687499998843,-2.476488947081819,-13.312301950490363,7.740678241056411,0.6666666666666666,-0.0152272598112303,-0.0933333333333341,V10
deform_0893,five_point,27,-6.424366393954088,-2.33069943527397,-13.525310021381085,15.60399216460566,0.5925925925925926,-0.829712081700975,-0.2633333333333376,V10
deform_1822,five_point,27,-0.1401009570822452,-2.32135676699748,-15.943169128906066,7.557849576828104,0.5555555555555556,0.1960417575065579,-0.1099999999999989,V10
deform_1822,staggered_levels:9:0.380:1,27,-0.1646626560649142,-2.172642219447108,-14.394225265296258,10.643845454469634,0.6296296296296297,-0.0312329305004193,-0.1222222222222235,V10
deform_1387,staggered_levels:9:0.380:2,27,-0.2565742622698566,-1.2088607224891017,-9.65935241925009,10.450806012804286,0.5925925925925926,0.1701082462988503,0.0438888888888877,V10
deform_1387,visible_equator,27,-0.4528642131982839,-1.1280967958990569,-11.833586914911043,6.501267855295466,0.6296296296296297,-0.1843492861238465,-0.0422222222222212,V10
deform_1822,staggered_levels:9:0.380:2,27,-0.1290624247364825,-0.6971164960854368,-9.656471822608887,14.298163253409822,0.5555555555555556,-0.1618240645827248,-0.1194444444444498,V10
deform_1387,five_point,27,0.0468562860294058,-0.6516753303665465,-15.514972007669046,10.844727695761645,0.4814814814814814,0.2052246368824146,0.0361111111111145,V10
deform_1822,visible_equator,27,-0.1133684349172791,-0.4912691602040377,-11.041178324488722,6.957815312585647,0.5185185185185185,-0.0079950085149213,-0.0266666666666637,V10
deform_0276,five_point,27,-0.1135362617201874,-0.3057752022829927,-12.669511862547592,14.752103273523124,0.5555555555555556,0.992000017679719,1.0949999999999904,V10
deform_0276,staggered_levels:9:0.380:0,27,-0.2744867654744172,-0.2541583992069383,-13.804452984055056,10.214512762093934,0.5925925925925926,0.8678034631338001,1.1944444444444424,V10
deform_0276,staggered_levels:9:0.380:1,27,-0.5659202950459599,-0.2462923279696987,-7.932137704457919,13.475527955150223,0.7407407407407407,1.2297297000764784,1.1127777777777847,V10
deform_0276,visible_equator,27,-0.940336051148899,0.322732243953617,-12.35697300561972,17.301793132120242,0.6296296296296297,1.118253282916679,1.289444444444443,V10
deform_0893,staggered_levels:9:0.380:0,27,-0.0670953873100252,0.4396199731752511,-12.926361682215084,11.100487084868996,0.5185185185185185,-0.7547739697123144,-0.1822222222222169,V10
deform_1387,staggered_levels:9:0.380:0,27,0.1981032750960483,0.5172385443530115,-9.132439131523034,10.583338607192433,0.4444444444444444,-0.1876326730855691,-0.1022222222222257,V10
deform_0893,visible_equator,27,0.1349814857574647,0.6241749854171807,-6.307575044705678,12.742697614081562,0.4814814814814814,-0.542547357432711,-0.1744444444444437,V10
deform_0893,staggered_levels:9:0.380:1,27,0.6529323676389464,0.7542873617730225,-15.917005974520832,8.18118891512138,0.4074074074074074,-0.8434859930822978,-0.2483333333333282,V10
deform_0893,staggered_levels:9:0.380:2,27,0.4566134176677326,1.221661393610903,-7.222598167270792,8.293250880890843,0.3703703703703703,-0.12966209139211,-0.2805555555555505,V10
deform_0276,staggered_levels:9:0.380:2,27,-0.2954965450128722,1.523965504125074,-7.566437185417471,13.283713296389989,0.5925925925925926,0.8982465641349018,1.1388888888888893,V10
