Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Version
NASA POWER,DUNHUANG_POWER_2023,Dunhuang,Gansu,China,40.063000,94.426000,8,1265.0,8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,downloaded 2026-05-11 UTC
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2023,1,5,17,30,-17.64,0.0,0.0,0.0,872.7,-2.36,259.7,3.57,,,,,,
2023,1,5,18,30,-17.73,0.0,0.0,0.0,872.3,-2.08,249.2,3.5,,,,,,
2023,1,5,19,30,-17.77,0.0,0.0,0.0,871.6,-1.48,242.8,3.43,,,,,,
2023,1,5,20,30,-17.77,0.0,0.0,0.0,870.8,-0.96,232.9,3.41,,,,,,
2023,1,5,21,30,-17.78,0.0,0.0,0.0,869.9,-0.41,217.8,3.66,,,,,,
2023,1,5,22,30,-17.83,0.0,0.0,0.0,869.0,-0.28,206.6,4.31,,,,,,
2023,1,5,23,30,-17.98,0.0,0.0,0.0,868.1,-0.36,196.0,5.46,,,,,,
2023,1,6,0,30,-18.35,0.0,0.0,0.0,867.2,-0.41,191.9,7.03,,,,,,
2023,1,6,1,30,-18.83,0.0,0.0,0.0,866.4,0.12,195.3,8.4,,,,,,
2023,1,6,2,30,-19.15,0.0,0.0,0.0,865.6,0.98,198.4,9.52,,,,,,
2023,1,6,3,30,-19.39,0.0,0.0,0.0,864.9,1.21,199.6,9.76,,,,,,
2023,1,6,4,30,-19.67,0.0,0.0,0.0,864.4,1.16,201.3,9.9,,,,,,
2023,1,6,5,30,-20.08,0.0,0.0,0.0,864.2,1.15,203.9,9.64,,,,,,
2023,1,6,6,30,-20.5,0.0,0.0,0.0,864.3,1.13,204.7,9.37,,,,,,
2023,1,6,7,30,-20.58,21.94,247.31,35.25,864.2,1.63,201.7,9.35,,,,,,
2023,1,6,8,30,-20.21,55.08,655.07,189.73,864.0,4.25,204.5,8.74,,,,,,
2023,1,6,9,30,-19.47,66.56,827.94,329.0,863.8,7.34,212.1,7.54,,,,,,
2023,1,6,10,30,-19.82,86.09,852.54,431.2,863.7,9.82,227.2,6.39,,,,,,
2023,1,6,11,30,-20.52,88.59,886.34,479.0,863.4,10.96,246.6,5.68,,,,,,
2023,1,6,12,30,-21.1,78.73,907.94,475.45,863.0,11.07,262.0,5.05,,,,,,
2023,1,6,13,30,-21.24,58.65,936.39,414.45,862.7,10.19,279.0,3.89,,,,,,
2023,1,6,14,30,-20.38,54.05,821.07,288.2,862.8,7.08,292.8,2.73,,,,,,
2023,1,6,15,30,-20.74,36.11,557.33,128.3,863.3,2.65,301.7,2.83,,,,,,
2023,1,6,16,30,-21.7,7.59,75.03,7.68,863.8,0.21,290.2,2.23,,,,,,
2023,1,6,17,30,-22.28,0.0,0.0,0.0,864.0,0.44,236.6,2.04,,,,,,
2023,1,6,18,30,-23.28,0.0,0.0,0.0,863.7,0.13,208.2,3.57,,,,,,
2023,1,6,19,30,-24.57,0.0,0.0,0.0,863.2,0.26,205.6,4.6,,,,,,
2023,1,6,20,30,-25.33,0.0,0.0,0.0,862.6,0.34,207.3,4.84,,,,,,
2023,1,6,21,30,-25.91,0.0,0.0,0.0,862.2,0.41,207.4,4.93,,,,,,
2023,1,6,22,30,-26.47,0.0,0.0,0.0,862.0,0.58,207.8,4.78,,,,,,
2023,1,6,23,30,-27.06,0.0,0.0,0.0,861.7,0.58,210.5,4.63,,,,,,
2023,1,7,0,30,-27.49,0.0,0.0,0.0,861.4,0.46,213.0,4.5,,,,,,
2023,1,7,1,30,-27.68,0.0,0.0,0.0,861.2,0.6,212.5,4.39,,,,,,
2023,1,7,2,30,-27.37,0.0,0.0,0.0,861.0,1.32,211.0,4.35,,,,,,
2023,1,7,3,30,-26.77,0.0,0.0,0.0,860.8,1.21,212.4,4.33,,,,,,
2023,1,7,4,30,-26.12,0.0,0.0,0.0,861.3,0.6,216.7,4.38,,,,,,
2023,1,7,5,30,-25.5,0.0,0.0,0.0,862.0,0.11,222.0,4.35,,,,,,
2023,1,7,6,30,-24.99,0.0,0.0,0.0,862.8,-0.33,229.8,4.06,,,,,,
2023,1,7,7,30,-24.52,27.91,66.98,27.35,863.5,-0.23,240.1,3.83,,,,,,
2023,1,7,8,30,-24.23,97.73,348.64,165.82,864.3,0.95,247.1,4.46,,,,,,
2023,1,7,9,30,-23.69,142.72,511.82,294.38,864.6,1.86,261.9,4.66,,,,,,
2023,1,7,10,30,-22.72,146.82,641.82,394.23,864.4,2.81,279.3,4.68,,,,,,
2023,1,7,11,30,-22.11,139.98,673.41,431.15,863.8,3.53,294.0,4.85,,,,,,
2023,1,7,12,30,-21.71,110.65,774.61,445.2,863.5,3.63,301.5,5.21,,,,,,
2023,1,7,13,30,-21.33,114.23,657.45,357.17,863.4,3.03,308.6,5.07,,,,,,
2023,1,7,14,30,-20.66,96.89,605.11,255.75,863.6,1.98,316.8,4.28,,,,,,
2023,1,7,15,30,-19.82,61.0,345.2,108.55,863.8,-0.41,326.6,2.22,,,,,,
2023,1,7,16,30,-19.88,8.88,18.37,6.15,864.0,-3.01,342.9,1.26,,,,,,
2023,1,7,17,30,-20.17,0.0,0.0,0.0,864.0,-2.82,333.9,0.61,,,,,,
2023,1,7,18,30,-20.59,0.0,0.0,0.0,863.8,-2.03,289.1,0.52,,,,,,
2023,1,7,19,30,-21.1,0.0,0.0,0.0,863.5,-1.3,243.4,0.76,,,,,,
2023,1,7,20,30,-21.42,0.0,0.0,0.0,863.1,-0.92,233.8,1.07,,,,,,
2023,1,7,21,30,-21.68,0.0,0.0,0.0,863.1,-1.12,237.2,1.37,,,,,,
2023,1,7,22,30,-21.86,0.0,0.0,0.0,863.2,-1.4,253.0,1.43,,,,,,
2023,1,7,23,30,-21.89,0.0,0.0,0.0,863.4,-2.07,257.1,1.8,,,,,,
2023,1,8,0,30,-21.74,0.0,0.0,0.0,863.4,-2.3,242.9,1.98,,,,,,
2023,1,8,1,30,-21.95,0.0,0.0,0.0,863.4,-2.66,222.8,2.19,,,,,,
2023,1,8,2,30,-22.48,0.0,0.0,0.0,863.1,-3.31,210.2,2.44,,,,,,
2023,1,8,3,30,-23.0,0.0,0.0,0.0,862.7,-3.45,201.6,2.71,,,,,,
2023,1,8,4,30,-23.57,0.0,0.0,0.0,862.6,-3.24,199.7,3.0,,,,,,
2023,1,8,5,30,-24.07,0.0,0.0,0.0,862.7,-2.88,205.0,2.98,,,,,,
2023,1,8,6,30,-24.57,0.0,0.0,0.0,862.9,-2.54,212.9,2.76,,,,,,
2023,1,8,7,30,-24.68,28.08,104.22,29.95,863.2,-1.85,217.8,2.49,,,,,,
2023,1,8,8,30,-23.53,77.83,482.47,174.95,863.4,0.25,216.5,2.19,,,,,,
2023,1,8,9,30,-22.6,104.09,749.04,318.2,863.5,3.05,234.2,1.85,,,,,,
2023,1,8,10,30,-23.94,101.64,797.29,420.75,863.3,4.89,275.8,2.59,,,,,,
2023,1,8,11,30,-23.86,98.58,824.46,456.02,862.8,5.62,297.4,3.11,,,,,,
2023,1,8,12,30,-23.92,83.34,878.03,469.95,862.3,5.85,313.6,3.16,,,,,,
2023,1,8,13,30,-23.99,102.7,751.49,385.58,862.1,5.66,334.3,2.79,,,,,,
2023,1,8,14,30,-23.02,98.16,604.92,265.33,862.1,4.54,9.7,2.5,,,,,,
2023,1,8,15,30,-21.76,59.78,371.81,114.62,862.2,1.21,43.7,2.21,,,,,,
2023,1,8,16,30,-22.31,10.46,23.7,7.45,862.4,-1.14,77.4,2.35,,,,,,
2023,1,8,17,30,-22.49,0.0,0.0,0.0,862.7,0.06,112.8,2.02,,,,,,
2023,1,8,18,30,-22.97,0.0,0.0,0.0,862.8,1.44,151.8,2.1,,,,,,
2023,1,8,19,30,-23.82,0.0,0.0,0.0,862.6,1.83,179.6,2.58,,,,,,
2023,1,8,20,30,-24.47,0.0,0.0,0.0,862.4,1.6,195.8,3.08,,,,,,
2023,1,8,21,30,-24.71,0.0,0.0,0.0,862.2,1.6,201.1,3.42,,,,,,
2023,1,8,22,30,-24.91,0.0,0.0,0.0,861.9,1.49,198.4,3.77,,,,,,
2023,1,8,23,30,-25.21,0.0,0.0,0.0,861.3,1.27,196.9,3.98,,,,,,
2023,1,9,0,30,-25.15,0.0,0.0,0.0,860.8,1.57,200.9,3.51,,,,,,
2023,1,9,1,30,-25.1,0.0,0.0,0.0,860.4,2.54,197.7,3.15,,,,,,
2023,1,9,2,30,-25.06,0.0,0.0,0.0,860.0,2.7,193.9,3.17,,,,,,
2023,1,9,3,30,-24.99,0.0,0.0,0.0,859.5,1.96,187.6,3.48,,,,,,
2023,1,9,4,30,-24.98,0.0,0.0,0.0,859.2,0.72,177.0,4.05,,,,,,
2023,1,9,5,30,-25.19,0.0,0.0,0.0,859.1,-0.3,173.5,4.88,,,,,,
2023,1,9,6,30,-25.49,0.0,0.0,0.0,859.0,-0.79,171.0,5.53,,,,,,
2023,1,9,7,30,-25.6,26.21,68.84,27.3,858.9,-0.33,171.1,6.34,,,,,,
2023,1,9,8,30,-24.9,99.92,189.42,138.52,858.8,3.15,169.9,6.02,,,,,,
2023,1,9,9,30,-23.28,181.21,219.99,240.1,858.7,7.15,167.9,4.78,,,,,,
2023,1,9,10,30,-21.67,244.8,188.58,323.95,858.4,10.29,162.6,3.3,,,,,,
2023,1,9,11,30,-21.13,274.61,184.88,354.67,858.1,11.31,167.8,0.66,,,,,,
2023,1,9,12,30,-21.44,254.01,148.95,336.42,858.1,11.06,326.9,2.36,,,,,,
2023,1,9,13,30,-20.41,238.57,142.86,297.4,858.5,9.56,334.8,3.67,,,,,,
2023,1,9,14,30,-18.15,158.32,116.52,194.12,859.1,6.44,347.4,2.38,,,,,,
2023,1,9,15,30,-17.95,69.65,62.37,86.18,859.7,4.11,0.7,1.62,,,,,,
2023,1,9,16,30,-18.39,8.67,3.37,6.3,860.2,3.04,282.9,0.63,,,,,,
2023,1,9,17,30,-18.82,0.0,0.0,0.0,861.0,0.94,272.5,2.53,,,,,,
2023,1,9,18,30,-19.16,0.0,0.0,0.0,862.0,-0.22,282.3,4.36,,,,,,
2023,1,9,19,30,-19.35,0.0,0.0,0.0,862.5,-1.4,275.6,5.37,,,,,,
2023,1,9,20,30,-19.6,0.0,0.0,0.0,862.4,-2.52,266.2,4.11,,,,,,
2023,1,9,21,30,-19.68,0.0,0.0,0.0,862.1,-3.02,255.4,2.15,,,,,,
2023,1,9,22,30,-19.55,0.0,0.0,0.0,861.7,-3.21,258.1,1.5,,,,,,
2023,1,9,23,30,-19.45,0.0,0.0,0.0,861.4,-3.34,277.6,1.89,,,,,,
2023,1,10,0,30,-19.31,0.0,0.0,0.0,861.5,-3.66,279.0,2.48,,,,,,
2023,1,10,1,30,-19.03,0.0,0.0,0.0,862.1,-3.93,265.3,2.42,,,,,,
2023,1,10,2,30,-18.56,0.0,0.0,0.0,862.4,-4.0,247.6,1.99,,,,,,
2023,1,10,3,30,-18.27,0.0,0.0,0.0,862.3,-3.98,219.9,1.92,,,,,,
2023,1,10,4,30,-18.12,0.0,0.0,0.0,862.3,-4.43,213.6,1.93,,,,,,
2023,1,10,5,30,-17.97,0.0,0.0,0.0,862.5,-4.43,231.0,2.03,,,,,,
2023,1,10,6,30,-17.71,0.0,0.0,0.0,862.7,-4.21,253.8,1.97,,,,,,
2023,1,10,7,30,-17.49,29.13,43.7,28.38,862.7,-4.22,268.2,1.92,,,,,,
2023,1,10,8,30,-17.17,88.91,443.21,173.07,862.5,-2.72,282.5,2.08,,,,,,
2023,1,10,9,30,-16.24,111.95,650.1,315.85,862.0,-0.58,296.2,2.94,,,,,,
2023,1,10,10,30,-15.12,98.44,806.66,427.38,861.3,1.57,296.4,5.22,,,,,,
2023,1,10,11,30,-14.59,105.67,767.66,461.17,860.4,2.39,300.8,6.26,,,,,,
2023,1,10,12,30,-14.17,106.43,761.33,446.9,859.6,2.64,308.3,6.02,,,,,,
2023,1,10,13,30,-13.87,98.1,734.04,384.75,859.2,2.53,313.7,5.17,,,,,,
2023,1,10,14,30,-13.69,106.32,562.6,265.38,859.2,1.91,318.3,4.03,,,,,,
2023,1,10,15,30,-13.52,70.94,262.73,113.1,859.3,0.03,330.0,2.1,,,,,,
2023,1,10,16,30,-13.56,10.97,10.45,7.57,859.4,-1.81,351.4,1.26,,,,,,
2023,1,10,17,30,-13.6,0.0,0.0,0.0,859.5,-1.74,36.7,0.79,,,,,,
2023,1,10,18,30,-13.69,0.0,0.0,0.0,859.2,-1.6,63.2,1.02,,,,,,
2023,1,10,19,30,-13.76,0.0,0.0,0.0,858.6,-1.24,57.4,1.06,,,,,,
2023,1,10,20,30,-13.82,0.0,0.0,0.0,857.9,-1.21,41.9,1.18,,,,,,
2023,1,10,21,30,-13.88,0.0,0.0,0.0,857.3,-1.47,32.5,1.21,,,,,,
2023,1,10,22,30,-13.95,0.0,0.0,0.0,856.6,-1.65,34.1,1.05,,,,,,
2023,1,10,23,30,-14.05,0.0,0.0,0.0,855.7,-1.51,51.7,0.85,,,,,,
2023,1,11,0,30,-14.18,0.0,0.0,0.0,855.0,-1.07,65.5,0.51,,,,,,
2023,1,11,1,30,-14.33,0.0,0.0,0.0,854.8,-0.77,298.5,0.52,,,,,,
2023,1,11,2,30,-14.36,0.0,0.0,0.0,854.8,-1.75,293.8,1.56,,,,,,
2023,1,11,3,30,-14.22,0.0,0.0,0.0,855.3,-3.33,279.1,2.09,,,,,,
2023,1,11,4,30,-14.11,0.0,0.0,0.0,855.5,-4.19,242.3,2.0,,,,,,
2023,1,11,5,30,-14.29,0.0,0.0,0.0,855.3,-4.38,204.1,2.32,,,,,,
2023,1,11,6,30,-14.83,0.0,0.0,0.0,855.0,-3.44,193.7,2.37,,,,,,
2023,1,11,7,30,-14.88,31.16,75.71,30.73,855.0,-1.66,210.9,1.95,,,,,,
2023,1,11,8,30,-13.12,94.29,422.34,177.0,854.6,-0.61,199.6,2.11,,,,,,
2023,1,11,9,30,-12.01,115.63,644.06,320.58,853.4,2.15,186.5,2.4,,,,,,
2023,1,11,10,30,-10.53,91.45,856.4,435.12,852.1,6.84,259.7,2.45,,,,,,
2023,1,11,11,30,-9.58,81.08,874.71,481.42,850.9,7.61,303.2,4.24,,,,,,
2023,1,11,12,30,-10.02,99.35,802.77,460.4,849.9,7.45,316.3,4.07,,,,,,
2023,1,11,13,30,-10.33,107.21,734.02,390.48,849.2,7.15,343.8,3.55,,,,,,
2023,1,11,14,30,-10.16,95.45,610.6,261.17,848.8,6.11,17.9,3.46,,,,,,
