candidate_id,heliostat_count,annual_energy_proxy_gwh,energy_ratio_vs_baseline,capex_proxy_musd,lcoe_proxy_cent_kwh,flux_risk_index,min_neighbor_m,terrain_elevation_range_m,terrain_slope_p95_pct,terrain_slope_mean_pct,layout_quality_score,sector_coverage_ratio,annular_coverage_ratio,ellipse_axis_ratio,extent_x_ratio,extent_y_ratio,is_publishable_geometry,x_scale,y_scale,radial_scale,radial_wave,twist,az_wave,petal_amp,petal_order,petal_phase,petal_twist,north_bias
deform_0883,11915,448.12423557680154,0.9998250335598224,843.621568,15.24266695517596,0.9982646548781597,17.001414136554143,34.83429734317724,1.2761594624958894,1.0091299122968687,1.0,1.0,1.0,1.0051295486162175,1.0,1.0,1,0.9957088096942855,1.0161616958763424,-0.008051280981773812,-0.013287571784013519,0.019345375713605395,0.006550733031316827,0.02150604813048165,4.0,1.1949502183202618,0.0030109041509166733,0.009325727108801429
deform_0884,11915,447.3567771467468,0.9981127312791891,843.6781802558369,15.269840992092378,0.9880110791106473,17.482070552205588,36.4153063959227,1.2770142106272606,1.0085913835171951,1.0,1.0,1.0,1.0174382220200084,1.0,1.0,1,1.0295438660621254,1.0107497065507072,0.00943478309768886,-0.005616025812023603,-0.03443153580460925,-0.01878587937692036,0.0,0.0,0.0,0.0,0.009763482404385532
deform_0885,11915,448.2486290407827,1.0001025719954295,843.621568,15.238436963113466,1.0100570085875331,16.416363195702374,34.875648967924235,1.277879212736663,1.0087352450946008,0.9477727701396095,1.0,1.0,1.074362090725218,0.9477727701396095,1.0,1,0.9730297397188524,1.0217629616905681,-0.020181833684026936,0.010734863987574086,-0.021624886857242794,-0.007025211483648146,0.0,0.0,0.0,0.0,0.00787858697342872
deform_0886,11915,448.46192676014437,1.0005784677013256,843.621568,15.231189248966695,0.9807776114403921,16.41231005840576,33.83708069440809,1.278245646293645,1.0111058277711367,0.953892433088847,1.0,1.0,1.023075940333634,0.9820143712812582,0.953892433088847,1,1.0071429867290251,0.9799382971223242,-0.024727984383747494,0.0030214304122447647,-0.01643342125153653,0.01597997332171835,0.0,0.0,0.0,0.0,-0.010941688340668146
deform_0887,11915,448.5636351915582,1.0008053927988285,843.621568,15.227735691331738,0.9847269183134044,16.77001080575124,34.60910122302744,1.2776684115897454,1.010060370257753,0.9792917121911889,1.0,1.0,1.0104254608958059,0.9792917121911889,0.9833447236922733,1,0.998081117151969,0.9915430659997828,-0.0171296795081143,0.0056351949745168245,-0.03281928037604334,-0.012296233251670143,0.0,0.0,0.0,0.0,0.01146108033342138
deform_0888,11915,448.095820000241,0.9997616346125379,843.621568,15.243633554618578,1.0103835065215048,16.413154468662523,34.89088683746422,1.2774729294281464,1.0085467067057425,0.9528294591008591,1.0,1.0,1.0719852748104193,0.9528294591008591,1.0,1,0.968350807740567,1.0344647450667814,-0.017766840559680114,0.0011069074534198649,-0.0022751690486922313,0.015082299962439105,0.0,0.0,0.0,0.0,0.0003419669924597177
deform_0889,11915,447.8653660186573,0.9992474609937548,843.6503704425775,15.251998038765887,1.016310626758144,17.220315619878058,35.720061064436095,1.2750812355660435,1.0084669407958715,1.0,1.0,1.0,1.0089518011773149,1.0,1.0,1,1.022819258366064,1.0341090896518175,-0.017512560326576495,-0.015035624183615669,0.006681353344841358,-0.009768719962495207,0.008727692747051843,6.0,-0.4086229812405886,-0.00980980441308706,-0.002593548179304985
deform_0890,11915,447.5158225477053,0.9984675828152729,843.6582317785586,15.264053227607453,1.0166714814165612,17.003074292770116,35.916594463965566,1.2751171220970354,1.0075349040687496,0.9962070217092819,1.0,1.0,1.0404098778791686,0.9962070217092819,1.0,1,0.971396777058627,1.0256878985400744,0.017718036037447087,-0.014842892998651599,0.01607419706793116,-0.0006069698788399511,0.0,0.0,0.0,0.0,-0.006354829675493043
deform_0891,11915,448.31685293963494,1.000254788627658,843.621568,15.236118010401293,1.0034847676103256,16.92725686741381,34.78400836776564,1.2773904128936078,1.0094772631291962,0.9819733798300421,1.0,1.0,1.0084838852609312,0.9965044581841884,0.9819733798300421,1,1.00959384846077,1.0168112853589417,-0.023575179814195404,-0.013198128264359253,0.011780089728050877,-0.01059254101711057,0.016955584004839496,8.0,2.0309227207153384,-0.0012923651427667517,-0.0016879553967613248
deform_0892,11915,448.29473422662653,1.0002054388241433,843.621568,15.236869755393828,0.9942524450760578,16.63663551135166,34.786588464186025,1.2773306201975365,1.0092519154133197,0.9640364476264668,1.0,1.0,1.0443534919775779,0.9640364476264668,1.0,1,0.9771981840736644,1.01389480914433,-0.01244798209972644,0.004667689911238605,-0.026930944383106274,0.017714647896140166,0.0,0.0,0.0,0.0,-0.011791143830395546
deform_0893,11915,448.07102809339807,0.9997063205564718,843.621568,15.24447698951916,0.978997364022633,16.961064534053175,34.82284698497597,1.2750260386503445,1.0090008096125955,1.0,1.0,1.0,1.0073673321878442,1.0,1.0,1,1.0151549861835132,1.0007326331604842,-0.011473828613942333,0.011603455758637436,0.03406610397084531,0.013415736949065973,0.024002001855210054,4.0,0.05913578380732076,-0.007261531299320937,-0.01129535371128718
deform_0894,11915,447.8942000301556,0.9993117935252834,843.621568,15.250495489738674,0.9808427380497565,16.578491106590334,34.903345968492886,1.2782419340477937,1.011077003156998,0.9592724967704476,1.0,1.0,1.0582521297920624,1.0,0.9592724967704476,1,1.0058204484202766,0.9656032772733206,0.0056013074956348,-0.01056694285107421,-0.02040391038205311,0.011309472823169704,0.013291945119490205,4.0,2.138303709456829,-0.0041857590490787695,0.004616462059496212
deform_0895,11915,447.04355265575384,0.9974138855967731,843.6793967026017,15.28056195525487,0.9975939628689979,17.32583722103756,36.445717565042514,1.2756112248381402,1.008844921722902,1.0,1.0,1.0,1.0060170610979766,1.0,1.0,1,1.032649322557102,0.9970230831221389,0.016227931585826708,0.01660051121802959,0.021460244284255546,-0.007201111164752826,-0.022692353974065247,8.0,-0.903689824487774,-0.011623838357875348,0.009245972319762884
deform_0896,11915,448.50468936734,1.0006738767905472,843.621568,15.229737033686861,0.9942586316173583,16.466635478718313,34.17552115969943,1.27749341937865,1.0105908201481248,0.9597717094775488,1.0,1.0,1.027399948924084,0.9922430200192883,0.9597717094775488,1,1.0041038868227936,0.9786688320062692,-0.016742140252408184,-0.007935052641244125,-0.0016035558315436668,-0.014163170243820397,-0.0006992188905272367,4.0,-1.1058013218978804,-0.0037503548026827944,0.010010485013790642
deform_0897,11915,447.8955927971585,0.9993149009745237,843.6366741083676,15.250721145619284,0.9852002775952725,17.24875926446523,35.37765270919044,1.2755549172552978,1.0091236143487954,1.0,1.0,1.0,1.0092188535150841,1.0,1.0,1,1.0030218387914718,0.99530925556727,0.009699747945576612,0.006743086191068816,0.034879767081218385,-0.0043232383482165945,-0.013730947429126021,4.0,1.8573871475954693,0.0002771762245350508,0.01108233746814807
deform_0898,11915,447.7764279907222,0.9990490283723847,843.621568,15.254506602972697,0.9762798841084742,16.488654581749614,34.375090613764314,1.2767622317890766,1.0109247245095687,0.9589282850835945,1.0,1.0,1.0506040933091536,1.0,0.9589282850835945,1,1.0305748772869532,0.9745267204096003,-0.014234865187769686,0.0022753278478885516,0.013243395293609413,0.01867912596841158,0.0,0.0,0.0,0.0,-0.00684630846637297
deform_0899,11915,448.66735423954424,1.001036803850498,843.621568,15.224215474774942,1.011612266750794,16.492605141137297,34.44025916695546,1.2791689981371839,1.010680549825245,0.9469941333703372,1.0,1.0,1.0187553285589908,0.97079549030145,0.9469941333703372,1,0.9874703966292234,0.9858559511030106,-0.015619462767917442,-0.01695256625397249,0.004979937233743292,-0.018429709981741142,0.021231415926165714,4.0,2.4230494004744356,-0.008564017472233783,0.0004116456736100362
deform_0900,11915,447.805374518183,0.9991136119420564,843.6414360487188,15.253879772611443,0.9954449305957451,17.309599678815523,35.49670121796885,1.275422078182204,1.008186396167359,1.0,1.0,1.0,1.0383973058267288,1.0,1.0,1,0.9959081630576948,1.000629009187908,0.013133566405815929,0.015772762588713084,0.028159612564437483,-0.0027764028410763447,0.01368067029162565,4.0,-1.738954922189033,0.008524437261176982,0.009128362239467388
deform_0901,11915,447.7409814630624,0.9989699424339475,843.6486577728668,15.256204144496461,1.0161068185543178,16.998354965849085,35.677244321670514,1.2758349317735538,1.0074002037795444,0.9855638423530071,1.0,1.0,1.0482209248222059,0.9855638423530071,1.0,1,0.9808522644927138,1.0162746591654686,0.006975738445694879,0.005732415750664358,-0.001832580845510974,0.004555329775349327,-0.011390871348926695,6.0,-0.3849110303701022,-0.011638909081556289,-0.002021659359588422
deform_0902,11915,448.5652687114333,1.0008090373998884,843.621568,15.227680237174585,0.9933095348444528,16.353544680370224,33.65153838100355,1.27940352876682,1.0112231528538018,0.9447768010616625,1.0,1.0,1.0325526825388798,0.9816394610126279,0.9447768010616625,1,1.00727231161746,0.9702141470847024,-0.02440250131954145,-0.001333556724155107,0.004912948813219228,-0.016733165627027948,-0.008902017138669269,8.0,1.9634103278489654,-0.005562536640680179,0.0004620396228916558
