count,mean_radius_m,median_radius_m,p05_radius_m,p95_radius_m,min_radius_m,max_radius_m,x_span_m,y_span_m,axis_ratio_x_over_y,mean_z_m,z_range_m,sector_coverage_frac,min_sector_count,annular_coverage_frac,min_annular_count,replicate
11895.0,1020.6660131174042,1012.3916140753043,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2609022768480607,35.19410000000016,1.0,242.0,1.0,352.0,69.0
11895.0,1020.536275375174,1012.3916005701549,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.256419551255536,35.19410000000016,1.0,240.0,1.0,352.0,70.0
11895.0,1020.6282961390095,1012.3916176114853,296.93540351403027,1785.918487087022,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2586025215856687,35.19410000000016,1.0,241.0,1.0,350.0,71.0
11895.0,1020.7303068507479,1012.3916176114853,296.9354111856651,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.257371457499272,35.19410000000016,1.0,242.0,1.0,351.0,72.0
11895.0,1020.5048874930401,1012.3916005701549,296.93540888417465,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.262628296507258,35.19410000000016,1.0,241.0,1.0,352.0,73.0
11895.0,1020.6364459598848,1012.3916140753043,296.93540351403027,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2556334142037695,35.19410000000016,1.0,241.0,1.0,352.0,74.0
11895.0,1020.6124731622762,1012.3916140753043,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.257925524819089,35.19410000000016,1.0,242.0,1.0,351.0,75.0
11895.0,1020.6329117939631,1012.3916176114853,296.93540888417465,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.260313836747178,35.19410000000016,1.0,242.0,1.0,351.0,76.0
11895.0,1020.4329511309244,1012.3916005701549,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.261135255248811,35.19410000000016,1.0,239.0,1.0,352.0,77.0
11895.0,1020.6643717841496,1012.3916176114853,296.93540351403027,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2597948187693593,35.19410000000016,1.0,242.0,1.0,351.0,78.0
11895.0,1020.5541227421518,1012.3916005701549,296.93540351403027,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2576783893710988,35.19410000000016,1.0,242.0,1.0,351.0,79.0
11895.0,1020.5407844195049,1012.3916005701549,296.9354007649273,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.256861946554143,35.19410000000016,1.0,241.0,1.0,352.0,80.0
11895.0,1020.569287126071,1012.3916005701549,296.9354007649273,1785.918487087022,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2511571438704037,35.19410000000016,1.0,242.0,1.0,351.0,81.0
11895.0,1020.3666551474445,1012.3916005701549,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.258710673653441,35.19410000000016,1.0,242.0,1.0,352.0,82.0
11895.0,1020.5049542093503,1012.3916140753043,296.9354007649273,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.258582942706372,35.19410000000016,1.0,241.0,1.0,352.0,83.0
11895.0,1020.3203651057476,1012.3916001310955,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.262079427525462,35.19410000000016,1.0,242.0,1.0,352.0,84.0
11895.0,1020.7006227043098,1012.3916187686463,296.9354007649273,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2614677095444105,35.19410000000016,1.0,242.0,1.0,352.0,85.0
11895.0,1020.6676550705577,1012.3916140753043,296.93540351403027,1785.918570773819,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.258699613705822,35.19410000000016,1.0,242.0,1.0,351.0,86.0
11895.0,1020.562700945143,1012.3916140753043,296.93540351403027,1785.918573955711,171.97435638199087,1988.054150591477,3530.44,3503.9300000000003,1.0075657904124797,-2.2598212855200948,35.19410000000016,1.0,241.0,1.0,352.0,87.0
