candidate_id,strategy,aiming_objective,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy
joint_g00_0005,staggered_levels:9:0.420:3,1.859217083000161,0.9804468563688217,0.019553143631178327,9.741872220416024,6.189970851385433,1.5738155242258707,0.1980394044747227
joint_g00_0005,staggered_levels:9:0.380:7,1.860269836416694,0.9946719982307917,0.005328001769208335,10.741191052756458,6.508138293352762,1.6504245252021184,0.2300657317734898
joint_g00_0005,staggered_levels:9:0.380:4,1.8650755019323113,0.9945755536551829,0.005424446344817091,10.739539046448087,6.5004387677955915,1.6521252533988633,0.2333054988263047
joint_g00_0005,staggered_levels:9:0.340:2,1.8718454855277815,0.9989972426611445,0.0010027573388554645,11.49660273668488,6.895549409534988,1.667249707584964,0.2634353020944393
joint_g00_0005,staggered_levels:9:0.420:7,1.8718659583036925,0.9803623596035186,0.019637640396481415,9.790193168222853,6.17604316562048,1.5851885917379716,0.1989518450538012
joint_g00_0005,staggered_levels:9:0.420:5,1.8724800860482844,0.9801814959938571,0.019818504006142934,9.821131883276593,6.193538455484034,1.5857061280665057,0.1973925732517043
joint_g00_0005,staggered_levels:9:0.340:0,1.9152528715518944,0.9990163850572843,0.0009836149427157048,11.787562225496536,6.887619763585709,1.7114130323825987,0.2626060460937145
joint_g00_0005,staggered_levels:9:0.340:8,1.9206057557945269,0.998993203750558,0.001006796249441999,11.852179603154646,6.8992389492925605,1.7178966680622003,0.26088201864831023
joint_g00_0005,staggered_levels:9:0.340:6,1.9345743776714615,0.9989681812802873,0.001031818719712696,11.880036496054128,6.870185770390365,1.729216194888876,0.2641806023261288
joint_g00_0005,staggered_levels:9:0.340:4,1.941457559407067,0.9989511131104886,0.0010488868895114356,11.872851820777388,6.853601086927554,1.7323523313055775,0.26901735983321295
joint_g00_0005,five_point,2.398551072350255,0.9906423359585651,0.009357664041434899,12.172398101119565,5.760887387279303,2.1129380393717834,0.29347917958456987
joint_g00_0005,balanced:0.400:0.030,3.2015232379387277,0.9934986446024746,0.006501355397525388,22.439381424780965,8.053939918986579,2.7861371764000564,0.4931687650079914
joint_g00_0005,balanced:0.320:0.015,3.217203681690934,0.9997946241417304,0.00020537585826962967,23.009754737383137,8.12763009878673,2.831053389206033,0.5129502153026848
joint_g00_0005,balanced:0.240:0.000,3.2484094296692607,0.9999981245112364,1.8754887636251993e-06,23.336334913132244,8.186095482542424,2.850728404389987,0.530223862477238
joint_g00_0005,equator,5.714437477753717,0.9999999999999972,2.7755575615628914e-15,43.26382484644217,8.87718730197848,4.873596036077762,1.1211219222345798
joint_g00_0006,staggered_levels:9:0.380:0,1.734719994336999,0.9948928561769116,0.005107143823088411,10.002635485445444,6.536511546270744,1.5302712180095843,0.22493169275439429
joint_g00_0006,staggered_levels:9:0.380:8,1.735523932296028,0.9947941876519605,0.005205812348039518,10.009689229184696,6.545370153674636,1.5292777939480102,0.2264072692156551
joint_g00_0006,staggered_levels:9:0.380:2,1.7632115712759595,0.9947825165505761,0.005217483449423854,10.18123576985483,6.540098020827947,1.5567405469201103,0.22659818694650968
joint_g00_0006,staggered_levels:9:0.380:7,1.7635745058627128,0.994713090384453,0.0052869096155470086,10.123188962644038,6.518772566896513,1.5529286930566335,0.23151659399633356
joint_g00_0006,staggered_levels:9:0.380:3,1.7659806853465145,0.9947238423568004,0.005276157643199553,10.181170331056206,6.533085628829345,1.558401482773854,0.227528132093685
joint_g00_0006,staggered_levels:9:0.380:1,1.7671290881478399,0.9948673663854392,0.005132633614560844,10.175712945086518,6.520879407190397,1.5604816942122923,0.2276252781781621
joint_g00_0006,staggered_levels:9:0.380:5,1.7700830078530245,0.9945918556594322,0.0054081443405678,10.181022454907898,6.5228375220462205,1.5608272351561046,0.22853168308392705
joint_g00_0006,staggered_levels:9:0.420:3,1.7704858361672793,0.9805510486038457,0.019448951396154324,9.222260598970468,6.200463045960321,1.4873503044226488,0.1959904959620667
joint_g00_0006,staggered_levels:9:0.380:6,1.7705785857753746,0.9946660821349973,0.005333917865002702,10.17703054735062,6.518974058963768,1.5611399056507862,0.22946834009275927
joint_g00_0006,staggered_levels:9:0.420:1,1.7711334363328204,0.9810797078132131,0.018920292186786924,9.226335127092437,6.186508023475858,1.491363963657913,0.1964365698231983
joint_g00_0006,staggered_levels:9:0.420:7,1.7714374681512741,0.9805125457711019,0.019487454228898082,9.189131177293959,6.187317227374281,1.4851559794993023,0.19982574539958034
joint_g00_0006,staggered_levels:9:0.380:4,1.7748151938622394,0.9946310805701479,0.00536891942985207,10.181102663348229,6.510698872614613,1.563749585497206,0.23131089647475828
joint_g00_0006,staggered_levels:9:0.420:5,1.776829331230332,0.9800669554075654,0.019933044592434612,9.226922996131378,6.1926908652887835,1.4899699011055187,0.19643749063702795
joint_g00_0006,staggered_levels:9:0.340:0,1.8136882176805182,0.9990125767427711,0.0009874232572288921,11.103860838395132,6.8929717662869985,1.6108960278501752,0.2611736360396543
joint_g00_0006,staggered_levels:9:0.340:8,1.8163220120628578,0.9989934440076353,0.001006555992364655,11.127752786962178,6.902199059517652,1.6122039789069518,0.26276285494580465
joint_g00_0006,staggered_levels:9:0.340:2,1.850325471121002,0.9989911840419289,0.0010088159580711187,11.362101694287066,6.899841365227783,1.6467192639452766,0.26205932729230336
