sectors,annuli,sigma_theta,sigma_z_fraction,strategy,group_count,objective,intercept_fraction_proxy,spillage_proxy,peak_flux_proxy,mean_active_flux_proxy,peak_to_mean_proxy,cv_active_proxy,layout_id,peak_to_mean_proxy_baseline,cv_active_proxy_baseline,intercept_fraction_proxy_baseline,delta_peak_to_mean_pct,delta_cv_pct,delta_intercept_pctpt
48,8,0.035,0.08,staggered_levels:9:0.380:0,349,1.861304541234685,0.982267663132667,0.017732336867333,8.088636278853336,5.37344669882433,1.505297573831535,0.25193914407586576,baseline_full,1.505297573831535,0.25193914407586576,0.982267663132667,0.0,0.0,0.0
48,8,0.042,0.055,staggered_levels:9:0.380:8,349,1.6137644717646973,0.9957910251871985,0.004208974812801469,7.511872593504626,5.298232464273389,1.4178072865164137,0.19092398440690808,baseline_full,1.4178072865164137,0.19092398440690808,0.9957910251871985,0.0,0.0,0.0
48,8,0.042,0.065,staggered_levels:9:0.380:8,349,1.6722361178265115,0.9910181857299716,0.008981814270028421,7.456903993101168,5.20381201746616,1.4329695169757657,0.1969553961064922,baseline_full,1.4329695169757657,0.1969553961064922,0.9910181857299716,0.0,0.0,0.0
48,8,0.042,0.08,staggered_levels:9:0.340:0,349,1.7532085722144939,0.9938201829191671,0.006179817080832928,8.108029739267772,5.375609608401994,1.5082995845894478,0.22996523644515618,baseline_full,1.5082995845894478,0.22996523644515618,0.9938201829191671,0.0,0.0,0.0
48,10,0.03,0.055,staggered_levels:11:0.420:4,435,1.6823862950482171,0.9826374967088518,0.01736250329114819,7.924278464192002,5.7747943031864475,1.3722183073810093,0.2014917192212028,baseline_full,1.3722183073810093,0.2014917192212028,0.9826374967088518,0.0,0.0,0.0
48,10,0.03,0.065,staggered_levels:11:0.380:4,435,1.7469422786551578,0.992137385220489,0.007862614779511001,8.675862174047543,5.917189116958171,1.4662134338723847,0.2562681488784532,baseline_full,1.4662134338723847,0.2562681488784532,0.992137385220489,0.0,0.0,0.0
48,10,0.03,0.08,staggered_levels:11:0.380:6,435,1.8332808584126667,0.9836232622543969,0.01637673774560311,8.513669915314598,5.754403470366242,1.4795052100809227,0.2620726427846107,baseline_full,1.4795052100809227,0.2620726427846107,0.9836232622543969,0.0,0.0,0.0
48,10,0.035,0.055,staggered_levels:11:0.380:4,435,1.6852470110586857,0.996371873474915,0.0036281265250850403,8.130291893101798,5.6131226334720274,1.4484436603290034,0.24444510415176704,baseline_full,1.4484436603290034,0.24444510415176704,0.996371873474915,0.0,0.0,0.0
48,10,0.035,0.065,staggered_levels:11:0.380:4,435,1.7398551975753231,0.992137385220489,0.007862614779511001,8.077401766151489,5.5104289401815105,1.465839021578132,0.24837089148365069,baseline_full,1.465839021578132,0.24837089148365069,0.992137385220489,0.0,0.0,0.0
48,10,0.035,0.08,staggered_levels:11:0.380:0,435,1.8295230790801364,0.9849133962167134,0.015086603783286634,8.094760672852933,5.397215977867397,1.4998029921440013,0.24591441961157906,baseline_full,1.4998029921440013,0.24591441961157906,0.9849133962167134,0.0,0.0,0.0
48,10,0.042,0.055,staggered_levels:11:0.380:4,435,1.5908251859417057,0.9963718734749151,0.0036281265250849293,7.420280677140154,5.3015737698028245,1.399637352856476,0.19077978927594155,baseline_full,1.399637352856476,0.19077978927594155,0.9963718734749151,0.0,0.0,0.0
48,10,0.042,0.065,staggered_levels:11:0.380:4,435,1.6364386314275257,0.9921373852204888,0.007862614779511223,7.3170159424341445,5.204433809045305,1.4059196851955675,0.19719767999513932,baseline_full,1.4059196851955675,0.19719767999513932,0.9921373852204888,0.0,0.0,0.0
48,10,0.042,0.08,staggered_levels:11:0.380:3,435,1.7218168034732382,0.9840773333503772,0.01592266664962283,7.230729013234331,5.080278765921428,1.4232937494962183,0.2013432009176907,baseline_full,1.4232937494962183,0.2013432009176907,0.9840773333503772,0.0,0.0,0.0
60,6,0.03,0.055,staggered_levels:7:0.380:1,335,1.7051867144377744,0.9946529021512862,0.005347097848713789,7.968542507381257,5.290226295225642,1.506276303259987,0.1836866216330317,baseline_full,1.506276303259987,0.1836866216330317,0.9946529021512862,0.0,0.0,0.0
60,6,0.03,0.065,staggered_levels:7:0.380:1,335,1.7367051055333387,0.988701301704088,0.011298698295912013,7.705799824253713,5.179613072535015,1.4877172708351218,0.18658617450696552,baseline_full,1.4877172708351218,0.18658617450696552,0.988701301704088,0.0,0.0,0.0
60,6,0.03,0.08,staggered_levels:7:0.340:1,335,1.8199011118102115,0.9921771208821032,0.007822879117896808,8.39446585045164,5.342499379221798,1.5712619234172749,0.21888959464677898,baseline_full,1.5712619234172749,0.21888959464677898,0.9921771208821032,0.0,0.0,0.0
60,6,0.035,0.055,staggered_levels:7:0.380:1,335,1.6447046935757865,0.9946529021512861,0.0053470978487139,7.612713569382819,5.204313422264078,1.462770004745601,0.1637151835770286,baseline_full,1.462770004745601,0.1637151835770286,0.9946529021512861,0.0,0.0,0.0
