layout_id,strategy,layout_sha256,sample_sha256,full_heliostat_count,sampled_heliostat_count,ray_count_requested,raydata_rows,sun_day,sun_hour,sun_x,sun_y,sun_z,elapsed_s,receiver_absorbed_unique_rays,receiver_intercept_per_requested_ray,peak_flux_w_m2,mean_active_flux_w_m2,peak_to_active_mean,active_flux_cv,total_receiver_power_proxy_w,condition_id
joint_g02_0303,staggered_levels:9:0.380:2,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,3410091bd5c92c2600fa9f10f9caabdc55ccbbbf9c83c29b078189256c5aabd9,11915,6000,60000,116611,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,6.389367580413818,39538.0,0.6589666666666667,1915665.9427775205,802146.2977309645,2.3881752595460144,0.2797627143643125,8415733338.393067,d20_h12
joint_g02_0303,staggered_levels:9:0.380:3,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,3410091bd5c92c2600fa9f10f9caabdc55ccbbbf9c83c29b078189256c5aabd9,11915,6000,60000,116608,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.633759260177612,39762.0,0.6627,2138765.9937533126,802673.2665492309,2.6645536644668284,0.2778167476406935,8504161344.361921,d20_h12
joint_g02_0303,staggered_levels:9:0.380:5,a98f933d38905dcec0b1a2e910b3a077fc60eb6dcbdb386969ef4cbff6107f98,3410091bd5c92c2600fa9f10f9caabdc55ccbbbf9c83c29b078189256c5aabd9,11915,6000,60000,116546,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,6.406451940536499,39550.0,0.6591666666666667,2563950.6483525927,797153.6748142468,3.2163818964392856,0.2722070249317469,8450354011.862086,d20_h12
joint_g04_0478,visible_equator,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,1cb6e81a05f6495b8107e5dec463213e2339cf2f1a6f5abb53c28d6412d46d4f,11915,6000,60000,116494,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,6.0479395389556885,42409.0,0.7068166666666666,2553990.6731880065,843723.5623562898,3.0270467569441903,0.3083451474002597,9026015871.602514,d20_h12
joint_g04_0478,five_point,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,1cb6e81a05f6495b8107e5dec463213e2339cf2f1a6f5abb53c28d6412d46d4f,11915,6000,60000,116629,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,6.753922700881958,38403.0,0.64005,2124057.732518716,789149.4905541614,2.6915784118762422,0.2667710621460138,8157018910.191623,d20_h12
joint_g04_0478,staggered_levels:9:0.380:2,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,1cb6e81a05f6495b8107e5dec463213e2339cf2f1a6f5abb53c28d6412d46d4f,11915,6000,60000,116677,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,7.789112567901611,39039.0,0.65065,2547799.004004164,792176.3708863654,3.216201716738197,0.2759803170760639,8288627109.776545,d20_h12
joint_g04_0478,staggered_levels:9:0.380:3,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,1cb6e81a05f6495b8107e5dec463213e2339cf2f1a6f5abb53c28d6412d46d4f,11915,6000,60000,116565,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,6.779368162155151,38904.0,0.6484,2135548.080589792,795175.0980956925,2.685632492395778,0.2688100339373904,8308136252.726526,d20_h12
joint_g04_0478,staggered_levels:9:0.380:5,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,1cb6e81a05f6495b8107e5dec463213e2339cf2f1a6f5abb53c28d6412d46d4f,11915,6000,60000,116538,20,12.0,-0.0,-0.8695367509008093,0.4938682403565388,5.328071117401123,38794.0,0.6465666666666666,2143455.964129995,799219.8867769194,2.681935221574739,0.2685288704595593,8315323067.245901,d20_h12
baseline_full,visible_equator,f267f54661b9776e332606a1b612b4aa1c0699d9f77f38f9fdcfb7c6b0e4b561,5e8521f580460b42ace51cb2b17df4404406f4da3b0d9bd315737d410fc96127,11915,6000,60000,116605,20,14.0,-0.4688176331969026,-0.788684455783609,0.3977271124891626,5.334219455718994,42788.0,0.7131333333333333,2513347.5328415795,836793.7118462898,3.003544956493716,0.3140553905617624,8961759519.602127,d20_h14
baseline_full,five_point,f267f54661b9776e332606a1b612b4aa1c0699d9f77f38f9fdcfb7c6b0e4b561,5e8521f580460b42ace51cb2b17df4404406f4da3b0d9bd315737d410fc96127,11915,6000,60000,116597,20,14.0,-0.4688176331969026,-0.788684455783609,0.3977271124891626,5.274089813232422,38485.0,0.6414166666666666,1881867.2607242395,777037.1403895294,2.421849822752176,0.2663438949390116,8047073503.219149,d20_h14
